source,stage,target,selected_files,changed_targets,max_cobb_smape_article,pt_smape_article,mt_smape_article,tll_smape_article,agg3_smape_article,max_cobb_smape_old,pt_smape_old,mt_smape_old,tll_smape_old,agg3_smape_old,mae3,rmse3,within_5,within_10,within_15,failures_gt5,severe_gt8,case_count,regressions_target_gt5,regressions_image_gt1,regressions_image_gt3
train2000,MT190,MT,1170,1170,8.4812,32.1627,9.8407,17.7316,16.5893,16.9624,64.3253,19.6814,35.4632,33.1785,4.7235,7.0388,68.4837,93.9223,97.619,1006,330,3192,0,59,0
train2000,PT193,PT,22,22,8.4775,31.6133,9.8407,17.7316,16.5135,16.955,63.2267,19.6814,35.4632,33.027,4.7062,7.028,68.9223,93.9536,97.619,992,327,3192,4,63,3
train2000,TLL196,TL_L,5,5,8.468,31.6133,9.8407,17.6878,16.4964,16.9359,63.2267,19.6814,35.3757,32.9928,4.7017,7.0227,69.0163,93.9536,97.619,989,327,3192,4,62,3
train2000,PT200,PT,47,47,8.452,31.0149,9.8407,17.6878,16.4092,16.904,62.0298,19.6814,35.3757,32.8185,4.6804,7.0108,69.4549,93.9536,97.619,975,327,3192,4,62,3
train2000,TLL197,TL_L,5,5,8.452,31.0149,9.8407,17.6878,16.4092,16.904,62.0298,19.6814,35.3757,32.8185,4.6804,7.0108,69.4549,93.9536,97.619,975,327,3192,4,62,3
train2000,SF204,PT+TL_L,2386,177,8.3902,31.0149,9.8407,17.955,16.5162,16.7804,62.0298,19.6814,35.9099,33.0323,4.7172,7.1646,69.4549,93.4211,97.4624,975,310,3192,48,126,3
trainfull,MT190,MT,1206,1206,8.5707,32.5679,9.9073,17.9422,16.7619,17.1415,65.1359,19.8147,35.8843,33.5238,4.7622,7.0515,67.8571,94.0163,97.6504,1026,334,3192,0,37,0
trainfull,PT193,PT,20,20,8.5648,32.0402,9.9073,17.9422,16.6882,17.1296,64.0804,19.8147,35.8843,33.3765,4.745,7.0357,68.2018,94.0163,97.6504,1015,326,3192,3,40,1
trainfull,TLL196,TL_L,6,6,8.531,32.0402,9.9073,17.8644,16.6579,17.0621,64.0804,19.8147,35.7287,33.3159,4.7377,7.0276,68.3584,94.0476,97.6504,1010,325,3192,3,40,1
trainfull,PT200,PT,48,48,8.5144,31.4553,9.9073,17.8644,16.5731,17.0288,62.9107,19.8147,35.7287,33.1463,4.717,7.0155,68.8283,94.0476,97.6504,995,324,3192,3,40,1
trainfull,TLL197,TL_L,6,6,8.5144,31.4553,9.9073,17.8644,16.5731,17.0288,62.9107,19.8147,35.7287,33.1463,4.717,7.0155,68.8283,94.0476,97.6504,995,324,3192,3,40,1
trainfull,SF204,PT+TL_L,2374,176,8.4957,31.4553,9.9073,18.2135,16.7131,16.9914,62.9107,19.8147,36.427,33.4262,4.7653,7.2134,68.8283,93.2644,97.3371,995,310,3192,61,125,1
